grupo	trat	largo.a	largo.b
A	1	13.24235	120.26314
A	1	18.88818	65.09334
A	1	13.84567	81.06975
A	1	19.46924	154.36468
A	1	14.28426	16.7815
A	2	16.13331	77.53193
A	2	12.68008	NA
A	2	13.67624	106.20727
A	2	16.66824	120.63876
A	2	15.68338	24.44985
B	1	15.35305	86.95707
B	1	14.05166	125.13632
B	1	17.47375	158.25985
B	1	17.83796	84.12646
B	1	14.09049	124.97527
B	2	NA	129.55051
B	2	15.60111	91.18577
B	2	14.43383	45.82086
B	2	11.14651	93.60729
B	2	12.55385	131.89001
C	1	15.82888	67.94056
C	1	14.13456	90.66499
C	1	12.67139	127.9164
C	1	10.58658	190.52247
C	1	17.79384	142.00036
C	2	18.07841	78.61995
C	2	15.4544	127.25722
C	2	13.37759	126.37286
C	2	21.20442	74.24199
C	2	17.98985	71.70114
