vida	trat	torax
4.967652	A	2.875585
5.975629	A	3.89589
9.220151	A	3.921822
6.526064	A	3.798926
4.519535	A	3.209808
6.174489	A	3.021796
6.923924	A	3.40704
7.960333	A	3.432309
7.508443	A	3.789081
5.509592	A	4.164951
6.187088	A	4.115437
10.973529	A	3.811601
9.351535	A	4.560765
5.704345	A	3.339862
8.464772	A	2.90743
15.397985	A	4.077092
9.172825	A	4.215604
2.22401	A	3.857415
11.055377	A	3.6819
7.596332	A	3.806711
10.420131	A	3.667274
11.102273	A	3.350332
12.630696	A	4.562736
8.092721	A	3.917592
12.344895	A	4.569477
11.141888	B	2.838709
8.111292	B	3.533725
10.865638	B	3.434517
8.012773	B	3.152984
8.336068	B	3.570416
10.595934	B	4.129502
5.91791	B	4.088687
9.574338	B	3.89357
12.441016	B	3.65039
10.125472	B	4.15527
8.175711	B	3.62504
6.142528	B	3.678611
9.826437	B	4.034954
3.853483	B	4.191669
6.561821	B	3.800821
3.740197	B	3.695933
7.262774	B	4.661519
9.130444	B	4.163097
11.399347	B	3.634917
9.23083	B	3.070184
5.000696	B	2.779973
12.645814	B	4.001327
6.29969	B	4.612183
9.70021	B	3.870205
9.337126	B	3.073099
6.919229	C	3.278889
7.994868	C	3.496653
9.635208	C	4.626867
11.175694	C	3.893661
7.342197	C	3.530132
11.530327	C	3.828929
10.22525	C	2.460892
6.183799	C	3.547371
6.892062	C	4.616951
8.486093	C	4.15638
9.156408	C	4.249735
7.66579	C	3.369134
10.945263	C	3.850076
12.36634	C	3.342353
5.043613	C	3.374808
6.766619	C	3.866185
9.554686	C	2.8138
8.490311	C	3.497212
14.14708	C	4.518309
10.075911	C	4.69568
7.091143	C	4.219111
5.08312	C	3.17181
4.776461	C	3.213288
9.896871	C	3.686869
7.772446	C	3.547156
7.589659	D	3.915634
5.752711	D	4.015709
10.002146	D	3.481627
4.870129	D	3.468799
8.552168	D	3.667415
9.895508	D	3.390641
6.022323	D	3.641318
4.268212	D	3.177121
9.60569	D	4.531626
8.958379	D	3.064578
7.913186	D	3.141791
6.893028	D	3.159496
7.49589	D	3.628864
5.572893	D	4.053251
6.467322	D	3.079282
6.491761	D	4.31556
5.81384	D	3.262891
6.790865	D	3.586074
7.985794	D	3.429743
2.671648	D	3.403543
10.386307	D	2.450373
8.106921	D	3.276875
7.315268	D	5.045151
8.492617	D	2.798327
7.723315	D	3.201729
2.03869	E	3.893973
2.958071	E	2.695911
2.135685	E	4.428699
5.634257	E	3.056357
6.156891	E	2.874927
8.177718	E	3.917292
4.198747	E	5.245083
5.533113	E	3.609037
5.764915	E	3.435342
5.825422	E	4.607293
5.349731	E	4.205544
7.67699	E	3.6506
8.838194	E	3.616106
7.131779	E	3.731759
5.775755	E	3.814805
2.72033	E	3.547394
4.756392	E	3.888693
4.860613	E	3.232188
8.381427	E	3.322596
5.928588	E	3.136904
3.584763	E	2.957409
3.309746	E	4.141854
10.123657	E	3.617091
2.740191	E	2.928904
5.145357	E	3.249656
