Sample	Parrot	CoralRichness	CoralTotal	Month	Station	Method
23	4	5	2.35	1	1	2
24	0.8	5	2.35	1	1	2
25	0.4	5	2.35	1	1	2
26	5.2	5	2.35	2	1	2
27	2.4	5	2.35	2	1	2
28	1.2	5	2.35	2	1	2
29	12	11	5.73	5	1	2
30	14	11	5.73	5	1	2
31	31.2	11	5.73	5	1	2
32	14	11	5.73	5	1	2
33	1.6	11	5.73	5	1	2
34	1.6	11	5.73	5	1	2
35	9.6	10	14.18	14	1	2
36	4	10	14.18	14	1	2
37	9.2	10	14.18	14	1	2
38	16.4	10	14.18	14	1	2
39	8.4	10	14.18	14	1	2
40	14.8	10	14.18	14	1	2
41	16.8	10	14.18	14	1	2
42	9.2	10	14.18	14	1	2
43	14	10	14.18	14	1	2
44	8.8	10	14.18	14	1	2
45	17.6	10	14.18	14	1	2
46	8	10	14.18	14	1	2
47	21.2	10	5.63	19	1	2
82	7.2	8	3.81	2	2	2
83	4.4	8	3.81	2	2	2
84	3.6	8	3.81	2	2	2
85	2.4	8	3.81	2	2	2
86	5.2	8	3.81	2	2	2
87	1.6	8	3.81	2	2	2
88	1.6	8	3.81	2	2	2
89	1.2	8	3.81	2	2	2
90	5.2	8	3.81	5	2	2
91	4.4	8	3.81	5	2	2
92	11.6	9	6	14	2	2
93	12.4	9	6	14	2	2
94	2.8	9	6	14	2	2
95	4.4	9	6	14	2	2
96	1.2	9	6	14	2	2
97	1.2	9	6	14	2	2
98	9.2	9	6.1	17	2	2
99	4.8	9	6.1	17	2	2
100	7.6	10	8.52	19	2	2
101	6.8	10	8.52	19	2	2
102	7.2	10	8.52	19	2	2
103	8	10	8.52	19	2	2
104	8.4	5	18.2	20	2	2
105	4.8	5	18.2	20	2	2
113	0.4	5	0.9	2	3	2
114	0.8	5	0.9	2	3	2
115	0	5	0.9	2	3	2
116	0.4	5	0.9	2	3	2
117	1.2	5	0.9	2	3	2
118	4	5	0.9	2	3	2
119	0	5	0.9	5	3	2
120	1.2	5	0.9	5	3	2
121	2.4	5	0.9	5	3	2
122	1.2	5	0.9	8	3	2
123	0.4	5	0.9	8	3	2
124	2.4	6	6.2	17	3	2
125	1.2	6	6.2	17	3	2
144	0	4	2.77	2	4	2
145	1.2	4	2.77	2	4	2
146	0.8	4	2.77	2	4	2
147	0	4	2.77	2	4	2
148	0.4	4	2.77	2	4	2
149	0	4	2.77	2	4	2
150	0	4	2.77	5	4	2
151	2	4	2.77	5	4	2
152	21.6	4	2.77	5	4	2
153	0	4	2.77	5	4	2
154	7.2	4	2.77	5	4	2
