huevos	densidad	estacion
26	A	IP
34	A	IP
37	A	IP
37	A	IP
37	A	IP
40	A	IP
41	A	IP
42	A	IP
43	A	IP
43	A	IP
44	A	VO
46	A	VO
47	A	VO
47	A	VO
48	A	VO
48	A	VO
49	A	VO
50	A	VO
50	A	VO
51	A	VO
31	B	IP
35	B	IP
37	B	IP
40	B	IP
40	B	IP
41	B	IP
42	B	IP
42	B	IP
43	B	IP
43	B	IP
43	B	VO
44	B	VO
46	B	VO
46	B	VO
47	B	VO
47	B	VO
49	B	VO
49	B	VO
51	B	VO
54	B	VO
27	C	IP
28	C	IP
30	C	IP
30	C	IP
31	C	IP
32	C	VO
34	C	VO
34	C	VO
35	C	VO
35	C	VO
35	C	IP
36	C	IP
38	C	IP
39	C	IP
40	C	IP
40	C	VO
43	C	VO
45	C	VO
47	C	VO
48	C	VO
14	D	VO
17	D	VO
17	D	VO
17	D	VO
18	D	VO
18	D	VO
20	D	VO
21	D	VO
22	D	VO
22	D	VO
22	D	IP
23	D	IP
23	D	IP
23	D	IP
24	D	IP
24	D	IP
24	D	IP
24	D	IP
25	D	IP
26	D	IP
