Species	Weight	Length1	Length1	Length2	Length3
1	242	23.2	23.2	25.4	30
1	290	24	24	26.3	31.2
1	340	23.9	23.9	26.5	31.1
1	363	26.3	26.3	29	33.5
1	430	26.5	26.5	29	34
1	450	26.8	26.8	29.7	34.7
1	500	26.8	26.8	29.7	34.5
1	390	27.6	27.6	30	35
1	450	27.6	27.6	30	35.1
1	500	28.5	28.5	30.7	36.2
1	475	28.4	28.4	31	36.2
1	500	28.7	28.7	31	36.2
1	500	29.1	29.1	31.5	36.4
1	NA	29.5	29.5	32	37.3
1	600	29.4	29.4	32	37.2
1	600	29.4	29.4	32	37.2
1	700	30.4	30.4	33	38.3
1	700	30.4	30.4	33	38.5
1	610	30.9	30.9	33.5	38.6
1	650	31	31	33.5	38.7
1	575	31.3	31.3	34	39.5
1	685	31.4	31.4	34	39.2
1	620	31.5	31.5	34.5	39.7
1	680	31.8	31.8	35	40.6
1	700	31.9	31.9	35	40.5
1	725	31.8	31.8	35	40.9
1	720	32	32	35	40.6
1	714	32.7	32.7	36	41.5
1	850	32.8	32.8	36	41.6
1	1000	33.5	33.5	37	42.6
1	920	35	35	38.5	44.1
1	955	35	35	38.5	44
1	925	36.2	36.2	39.5	45.3
1	975	37.4	37.4	41	45.9
1	950	38	38	41	46.5
2	270	23.6	23.6	26	28.7
2	270	24.1	24.1	26.5	29.3
2	306	25.6	25.6	28	30.8
2	540	28.5	28.5	31	34
2	800	33.7	33.7	36.4	39.6
2	1000	37.3	37.3	40	43.5
3	40	12.9	12.9	14.1	16.2
3	69	16.5	16.5	18.2	20.3
3	78	17.5	17.5	18.8	21.2
3	87	18.2	18.2	19.8	22.2
3	120	18.6	18.6	20	22.2
3	0	19	19	20.5	22.8
3	110	19.1	19.1	20.8	23.1
3	120	19.4	19.4	21	23.7
3	150	20.4	20.4	22	24.7
3	145	20.5	20.5	22	24.3
3	160	20.5	20.5	22.5	25.3
3	140	21	21	22.5	25
3	160	21.1	21.1	22.5	25
3	169	22	22	24	27.2
3	161	22	22	23.4	26.7
3	200	22.1	22.1	23.5	26.8
3	180	23.6	23.6	25.2	27.9
3	290	24	24	26	29.2
3	272	25	25	27	30.6
3	390	29.5	29.5	31.7	35
4	55	13.5	13.5	14.7	16.5
4	60	14.3	14.3	15.5	17.4
4	90	16.3	16.3	17.7	19.8
4	120	17.5	17.5	19	21.3
4	150	18.4	18.4	20	22.4
4	140	19	19	20.7	23.2
4	170	19	19	20.7	23.2
4	145	19.8	19.8	21.5	24.1
4	200	21.2	21.2	23	25.8
4	273	23	23	25	28
4	300	24	24	26	29
5	6.7	9.3	9.3	9.8	10.8
5	7.5	10	10	10.5	11.6
5	7	10.1	10.1	10.6	11.6
5	9.7	10.4	10.4	11	12
5	9.8	10.7	10.7	11.2	12.4
5	8.7	10.8	10.8	11.3	12.6
5	10	11.3	11.3	11.8	13.1
5	9.9	11.3	11.3	11.8	13.1
5	9.8	11.4	11.4	12	13.2
5	12.2	11.5	11.5	12.2	13.4
5	13.4	11.7	11.7	12.4	13.5
5	12.2	12.1	12.1	13	13.8
5	19.7	13.2	13.2	14.3	15.2
5	19.9	13.8	13.8	15	16.2
6	200	30	30	32.3	34.8
6	300	31.7	31.7	34	37.8
6	300	32.7	32.7	35	38.8
6	300	34.8	34.8	37.3	39.8
6	430	35.5	35.5	38	40.5
6	345	36	36	38.5	41
6	456	40	40	42.5	45.5
6	510	40	40	42.5	45.5
6	540	40.1	40.1	43	45.8
6	500	42	42	45	48
6	567	43.2	43.2	46	48.7
6	770	44.8	44.8	48	51.2
6	950	48.3	48.3	51.7	55.1
6	1250	52	52	56	59.7
6	1600	56	56	60	64
6	1550	56	56	60	64
6	1650	59	59	63.4	68
7	5.9	7.5	7.5	8.4	8.8
7	32	12.5	12.5	13.7	14.7
7	40	13.8	13.8	15	16
7	51.5	15	15	16.2	17.2
7	70	15.7	15.7	17.4	18.5
7	100	16.2	16.2	18	19.2
7	78	16.8	16.8	18.7	19.4
7	80	17.2	17.2	19	20.2
7	85	17.8	17.8	19.6	20.8
7	85	18.2	18.2	20	21
7	110	19	19	21	22.5
7	115	19	19	21	22.5
7	125	19	19	21	22.5
7	130	19.3	19.3	21.3	22.8
7	120	20	20	22	23.5
7	120	20	20	22	23.5
7	130	20	20	22	23.5
7	135	20	20	22	23.5
7	110	20	20	22	23.5
7	130	20.5	20.5	22.5	24
7	150	20.5	20.5	22.5	24
7	145	20.7	20.7	22.7	24.2
7	150	21	21	23	24.5
7	170	21.5	21.5	23.5	25
7	225	22	22	24	25.5
7	145	22	22	24	25.5
7	188	22.6	22.6	24.6	26.2
7	180	23	23	25	26.5
7	197	23.5	23.5	25.6	27
7	218	25	25	26.5	28
7	300	25.2	25.2	27.3	28.7
7	260	25.4	25.4	27.5	28.9
7	265	25.4	25.4	27.5	28.9
7	250	25.4	25.4	27.5	28.9
7	250	25.9	25.9	28	29.4
7	300	26.9	26.9	28.7	30.1
7	320	27.8	27.8	30	31.6
7	514	30.5	30.5	32.8	34
7	556	32	32	34.5	36.5
7	840	32.5	32.5	35	37.3
