morfo	alt.estambre	alt.estilo	estig	area.pet	largo.pet	ancho.pet	polen.tot	polen.germ	prop.germ
1	3.8914	7.33	3	74.31617297	11.07756859	10.14228976	1947	1796	0.922444787
1	4.5411	6.9	3	71.1151271	10.47463651	9.561840364	1693	1448	0.855286474
1	3.923	6.08	3	63.08655801	10.31902894	8.319363109	813	571	0.702337023
0	6.3401	4.44	3	52.77399943	9.372677332	8.484118966	1469	1402	0.954390742
1	4.7731	7.52	3	79.09178735	11.08771682	9.952858503	1097	905	0.824977211
0	7.9474	4.87	3	98.2807596	12.39138345	11.20183012	612	541	0.883986928
0	7.3394	3.44	3	78.95336374	10.72036371	10.01870334	706	664	0.940509915
0	5.096	7.74	3	101.6894409	12.82707128	10.8471224	1118	1021	0.913237925
1	5.1484	7.32	3	73.45102544	11.2619105	9.445317013	967	892	0.922440538
0	7.7344	5.37	3	87.20687119	11.27342771	10.7066357	1180	807	0.683898305
1	5.4592	7.2893	3	66.89320715	10.72036371	8.848494314	421	368	0.874109264
0	8.2195	3.8305	4	77.811369	11.53515021	9.580822152	809	374	0.462299135
1	4.6451	6.693	3	77.03273622	12.13173104	9.30133072	1203	813	0.675810474
0	8.0382	4.2488	3	81.06432372	10.90122309	10.01265679	616	606	0.983766234
0	8.1005	3.9415	3	101.654835	12.29043364	11.88533925	1199	1048	0.874061718
1	5.7311	7.9689	3	81.8083506	11.98103829	9.777463999	1590	1308	0.822641509
0	9.0331	5.0699	4	105.8248461	12.71869826	12.2410601	4231	3678	0.869298038
0	8.8381	4.6294	3	93.26290392	12.64502142	10.31399731	1091	1035	0.948670944
0	8.9737	3.7324	3	89.38704297	12.40952298	10.29048385	926	604	0.652267819
0	7.0172	4.6466	3	71.0113094	11.04315155	8.977591217	1720	1336	0.776744186
1	4.8471	6.6195	3	75.68310607	10.4853683	9.942422088	1583	949	0.59949463
0	7.0212	4.824	3	77.82519558	11.68416476	9.65849877	2201	1533	0.69650159
0	7.9073	4.8722	3	81.62052184	11.44254139	10.14228504	1338	1196	0.89387145
0	8.0857	4.9116	3	106.2131156	13.43276045	11.37317899	1999	1745	0.872936468
1	5.3264	8.1632	3	80.37408628	11.87203658	9.966077853	1214	1033	0.850906096
1	5.195	7.1773	3	79.51978775	11.07749433	10.51915714	1038	811	0.781310212
1	3.9489	6.3581	3	73.1615659	10.59873833	10.14228504	633	328	0.518167457
1	4.5029	5.9878	3	48.12081555	8.762124659	7.493972556	1173	689	0.587382779
0	6.9617	4.137	3	73.28760995	11.73738223	9.021997757	661	528	0.798789713
0	7.6297	5.4635	3	84.08538317	12.09467309	9.805998253	1286	1078	0.838258165
0	7.1184	4.6564	3	57.39205533	9.644713863	8.560818299	930	721	0.775268817
0	7.8365	4.8215	3	108.3698692	13.85767317	11.32628926	787	746	0.947903431
0	7.4666	4.4434	3	73.07753654	10.56498957	9.893442459	822	608	0.739659367
0	9.4675	5.3198	3	121.1003178	14.24292416	11.95256972	666	555	0.833333333
1	5.077	6.8758	3	70.76672904	10.67444692	9.493971632	579	475	0.820379965
0	7.8115	4.7189	3	89.78729257	12.85732107	10.35428499	1266	1023	0.808056872
1	4.4292	6.5473	3	74.64608466	10.46844282	9.611258002	633	526	0.830963665
0	8.7138	5.21	3	80.82224288	11.99876284	10.03051135	1009	807	0.799801784
0	7.3931	4.2871	3	55.69746317	10.07787134	7.899734639	1242	995	0.801127214
1	5.924	9.5829	3	111.3809214	16.25559407	11.30277145	1783	1716	0.962422883
1	4.1291	7.5997	3	84.75761808	11.51087753	11.23316938	1298	1129	0.869799692
0	8.7163	5.6093	3	123.3971204	15.05321174	11.67697081	934	799	0.855460385
0	8.4757	4.6217	3	91.8580993	13.09274233	11.02299686	542	494	0.911439114
0	8.9252	5.4028	4	138.9429559	15.61578205	13.91926508	1402	1203	0.858059914
0	7.7028	5.0261	3	83.3539837	11.80323261	10.30279689	1199	880	0.733944954
1	5.0005	7.7858	3	68.04687543	11.66508042	9.737029978	452	379	0.838495575
0	9.2124	4.9554	3	77.635924	12.29252268	9.150263811	541	428	0.791127542
1	4.7115	7.4675	3	87.5590173	12.01443384	10.88429966	948	652	0.687763713
1	4.6635	7.4901	3	77.77347183	11.25965354	10.07035494	194	149	0.768041237
0	8.2189	4.5708	3	85.79054522	11.99724873	10.86713555	520	422	0.811538462
0	7.7364	4.7458	3	90.05452789	11.77656613	11.66086844	515	408	0.79223301
1	4.9392	7.6652	3	89.95627944	12.8856462	10.44956103	1162	915	0.787435456
1	4.6558	7.1341	3	72.03576244	11.87542938	9.102897421	285	161	0.564912281
1	5.0859	7.2566	3	87.91271171	13.04327464	10.82637516	606	530	0.874587459
1	4.6255	7.4526	3	74.57057241	11.44056743	10.6700657	893	759	0.849944009
1	5.2227	7.0995	3	107.4052039	14.73530017	11.8157118	1268	916	0.722397476
1	5.8585	8.833	3	147.7656665	15.19615587	14.35706255	1454	956	0.657496561
0	7.8032	4.4927	3	82.15535263	11.76822047	10.16744892	431	375	0.870069606
0	8.5586	5.002	3	73.50948916	11.48171451	9.147042076	413	329	0.796610169
0	9.2018	5.3048	3	104.673897	13.74881867	10.94909845	615	508	0.82601626
1	4.573	7.5055	3	55.60862185	10.10541624	7.970410704	378	255	0.674603175
1	4.5686	7.4201	3	102.5124312	14.02404165	11.38547333	717	346	0.482566248
1	6.0962	6.9478	3	84.43471664	13.07862947	10.07425666	1008	332	0.329365079
0	7.2233	4.6983	5	85.04385702	11.94472255	11.07755894	340	183	0.538235294
1	5.0083	7.9669	3	75.04216496	11.90104883	9.265500218	102	76	0.745098039
1	5.9387	7.5006	3	119.2539668	15.04867681	12.37536591	1479	912	0.61663286
1	5.4055	6.9883	3	75.08146434	10.94909845	9.943703463	860	551	0.640697674
0	7.6348	4.8468	3	65.73151634	12.13223875	8.114891519	758	634	0.836411609
1	6.3444	8.1345	3	100.9212675	12.74929661	11.31898766	704	593	0.842329545
1	4.8116	8.6756	3	92.94472395	12.35268708	11.15285162	474	366	0.772151899
1	4.6092	7.5614	3	81.87951888	12.20677808	10.6141971	155	123	0.793548387
0	8.0732	4.5791	3	69.31496352	11.78621244	9.925085062	1235	746	0.604048583
1	5.0533	7.7337	3	86.06270616	13.03826426	9.759033245	497	400	0.804828974
1	5.6443	8.78	3	104.3097991	13.28151199	11.31633808	762	556	0.729658793
1	4.2924	6.8529	3	51.87751974	10.06757563	7.749127614	743	492	0.66218035
0	7.1926	4.0461	3	62.98770533	10.37055426	9.072724533	501	397	0.79241517
0	8.1941	4.1037	3	58.45966748	12.31561101	7.825181499	291	188	0.64604811
0	8.5197	4.5444	4	72.65851464	11.39489949	9.9243297	298	216	0.724832215
1	4.3591	6.5678	3	69.26998301	12.08022197	9.160711504	737	464	0.629579376
1	4.4479	6.2213	3	51.39772765	11.02643706	6.73575085	546	393	0.71978022
1	5.2786	8.3675	3	86.49751774	12.95520245	10.14767842	161	90	0.559006211
1	5.7428	7.8186	4	96.48319062	13.49596503	10.207343	1040	760	0.730769231
0	6.8705	5.15	3	84.81824543	12.63352039	10.70982243	704	541	0.768465909
0	8.7194	5.4085	3	101.8358711	14.06233653	11.4054211	1055	788	0.746919431
1	4.526	7.0228	3	44.26082031	9.45707377	7.153518373	179	137	0.765363128
0	6.9012	4.2334	3	44.42574884	8.79241153	7.99013986	332	272	0.819277108
0	8.7761	4.3784	3	64.09722454	10.80460147	9.160711504	240	176	0.733333333
1	4.9013	6.7636	3	87.17222537	14.17543385	9.2316342	984	716	0.727642276
1	5.0992	6.8088	3	48.71389065	10.02653661	7.396708171	828	498	0.601449275
0	7.0086	4.1343	3	58.92446606	10.90405784	8.376729265	467	396	0.847965739
1	4.5925	7.0844	3	65.53975286	11.81036529	9.023169058	582	335	0.575601375
0	7.2911	4.4699	3	57.9389135	10.87455763	7.513103498	300	214	0.713333333
0	8.0571	4.5608	3	61.0282117	10.87455763	8.431419329	270	249	0.922222222
0	7.7589	5.1127	4	67.20680811	12.18685638	7.881140813	788	664	0.842639594
1	4.7288	7.5367	3	67.26509676	12.30916345	8.327774629	183	165	0.901639344
1	4.5917	7.0004	3	60.76008394	11.93604235	8.001515361	618	551	0.891585761
0	7.4928	4.361	3	63.53462346	11.48457865	7.821749304	305	239	0.783606557
1	4.87	7.2803	3	68.43086967	11.60122761	8.853619051	462	307	0.664502165
0	8.6561	5.0189	3	103.742131	13.97170975	11.25438698	909	700	0.770077008
1	4.4252	7.0413	3	69.81813943	11.0963478	9.425685825	326	260	0.797546012
1	4.188	6.6866	3	68.50716227	10.62050914	9.799487081	497	359	0.722334004
0	6.4584	4.6197	3	68.93215202	11.6658617	8.680758074	441	320	0.725623583
1	5.1717	8.4096	3	105.2459781	14.11944846	10.45591618	378	210	0.555555556
1	4.1406	7.4488	3	75.48379576	12.87075484	9.228833546	1143	685	0.599300087
0	7.2439	5.3832	3	76.43972954	14.03622532	8.305346647	902	512	0.567627494
0	8.9132	4.9513	3	93.65819538	13.51492875	10.18939327	854	770	0.901639344
1	4.4139	7.5135	3	68.67568198	11.78665166	8.446614821	425	315	0.741176471
1	4.5914	8.0768	3	101.2590347	13.39014089	11.44492219	830	510	0.614457831
0	7.802	5.5857	3	79.68057822	11.94629312	9.825950956	887	680	0.766629087
1	5.4156	7.7669	3	81.62741898	12.55438159	9.669883397	957	795	0.830721003
1	5.4889	8.292	3	98.85754255	13.95877085	10.8278244	960	468	0.4875
1	4.4671	6.731	3	54.08020518	11.62732489	7.330902471	741	450	0.607287449
0	7.4451	4.5912	3	82.68827232	12.23506841	9.94564383	453	351	0.774834437
0	7.348	5.14	3	58.55677314	11.37800867	7.835151645	614	537	0.874592834
0	8.393	5.2354	3	88.56376778	14.13553948	9.566251786	812	705	0.868226601
0	7.9018	4.2329	3	86.82676615	12.85262701	10.03839679	789	613	0.776932826
