azucar	largo.l.tot	largo.tubo	caliz.sup	caliz.med	caliz.inf	labio.sup	labio.inf
1.618853977	32.05147923	21.9459	7.5776	4.473	7.2943	9.9394	13.358
2.055546729	31.27042338	17.1337	6.9524	3.9668	6.9679	10.9761	14.314
1.330867355	29.32623624	20.0157	7.5325	4.3586	7.2849	10.1109	10.3291
2.377260605	32.9178133	20.6105	8.2434	4.8193	7.6211	8.7238	12.5445
0.76353967	32.78030115	20.183	7.0822	4.2665	7.3754	9.4634	12.6195
0.421035235	31.81462536	20.51	7.5222	4.6501	7.5239	10.3642	12.7917
0.395330904	30.16389833	16.6539	6.181	4.4723	6.416	9.2156	13.523
0.548628371	30.12512379	18.0845	6.0342	3.6861	6.5418	9.5569	12.3682
0.42606716	30.97415283	16.4478	6.1278	3.9103	6.22	8.7968	14.7238
0.790598982	32.49320039	17.874	6.1348	3.699	6.0403	10.3104	14.6151
0.961228391	39.38761956	19.6714	7.3733	4.2964	7.9643	9.5482	13.7404
0.406728194	35.21966605	18.9646	7.4641	4.1187	8.1116	10.288	13.1084
0.36764581	33.6791375	19.0888	7.1369	4.1071	7.334	10.5706	13.2258
0.22001973	32.08705877	18.2333	7.4213	3.6959	7.2705	9.969	12.8461
0.465784875	35.50371766	15.8246	6.2274	3.6882	6.1619	9.5022	12.1371
0.422091045	39.06313487	19.3496	6.9188	4.1032	7.0066	10.5496	13.6712
0.168166063	37.14692069	18.7397	7.2145	4.2853	7.5238	9.5482	12.6355
1.332983402	37.80716832	21.9636	7.0803	4.0871	7.3378	9.9619	13.2157
0.739862194	36.69396078	20.364	7.0529	4.3689	6.4901	8.1271	12.8698
1.553729511	37.32947688	21.6185	7.5988	4.8642	7.5446	6.9613	13.1249
1.074001755	39.237686	21.5343	7.3597	4.6594	7.8223	10.649	13.0747
0.119914927	34.26701085	20.57	7.0307	4.2772	6.7438	9.0009	11.9795
1.905697872	40.03513364	21.8992	7.899	4.611	8.0969	10.6788	13.4375
0.262677063	34.97470121	20.1938	7.3528	4.4947	7.8126	9.2137	11.7512
0.552194776	33.31893655	20.3329	7.6453	4.8199	7.4476	9.8878	11.8184
1.548591282	33.92648615	20.7122	7.5514	4.6621	7.3808	9.6199	12.5923
1.742091674	34.62190323	19.5359	7.8466	5.3474	7.8363	7.9944	11.4555
1.26628068	37.79150285	21.4473	6.157	4.2546	6.4242	9.4686	12.8561
0.769317193	37.38659163	20.8044	7.9752	4.9964	7.6937	10.3054	13.5106
0.990909495	37.94620196	20.7827	7.6707	4.9307	7.5119	10.4132	13.2156
0.734638811	35.50162708	20.7275	7.3141	4.8659	7.2605	9.5355	13.5792
0	39.88317895	21.1783	6.8605	5.5176	7.5314	11.626	14.1461
0.836933236	38.14568575	20.3544	7.2839	4.1521	6.6299	12.4165	14.1354
0.475756881	32.55150384	19.0195	7.8611	5.0338	6.8025	9.6625	13.2564
0.358263311	35.76790532	19.1356	7.6733	4.5542	6.9927	8.3027	12.4862
0.914793638	36.75053581	20.5406	6.7419	3.9918	6.8911	8.786	14.1731
0.430230711	31.37988629	18.5286	6.5653	3.9918	6.0235	8.4218	12.9472
1.059429486	31.95700849	18.3134	5.6069	4.1477	5.9272	8.6575	12.7559
0.547964975	33.1037533	19.399	6.3015	3.9208	6.1818	9.1167	10.9357
0.907304396	33.52240018	18.7833	6.4142	4.1422	6.0302	9.4959	13.1602
0.579913029	33.96476405	18.9475	7.2483	4.305	6.929	8.4482	10.9959
0.825033023	34.71262874	19.7191	6.9392	4.1201	6.9151	9.2324	11.4859
0.509354756	35.86801222	20.345	6.9961	4.1804	6.9863	8.3747	10.1189
1.673526607	33.65956307	19.2195	6.9482	4.213	6.3927	6.3344	12.1591
0.40855468	35.49388245	19.0472	7.3136	4.3169	6.8036	8.6489	10.565
0.34675643	33.20298852	18.9895	6.7379	4.5577	7.581	7.9231	12.0312
0.948134426	37.45939063	18.9023	8.0392	4.5136	7.9683	7.7928	13.6521
0.471600574	36.09028286	19.1404	6.5692	4.5186	7.5834	10.8977	13.5994
1.064075204	36.77736792	17.8142	8.0318	4.3206	7.7641	10.1418	12.7799
0.974351115	29.69267589	17.9021	7.8722	4.2781	7.9796	9.0065	12.5671
0.901210267	30.34971147	17.4005	5.5572	3.756	6.1396	10.2598	10.9118
0.53662343	31.02091773	17.252	7.0279	4.2069	6.72	7.8902	9.9295
0.335106127	36.17782533	16.4664	6.3951	3.812	6.8507	6.7037	10.0693
0.298477578	26.28496084	15.344	7.0156	3.89	7.0247	8.657	10.1274
1.041335949	29.79597239	16.737	7.2849	4.142	6.9037	6.9417	10.6062
0.708584224	34.04615558	17.845	6.6115	4.2039	7.0399	8.7208	12.7728
1.177748773	37.77778152	19.7103	6.9312	4.2238	7.255	8.3518	14.4147
1.160243846	32.33387873	19.1374	7.2016	4.2656	7.4348	8.0556	12.3455
0.541433316	32.91319426	20.7042	6.8264	3.9417	7.1071	8.4158	11.3394
1.067879063	32.09062324	20.3163	6.5579	3.7506	6.4629	5.7173	10.6084
0.861178891	35.70237501	20.3667	7.0246	4.1858	7.1036	7.9409	10.2324
0.901251862	35.46903148	18.6836	6.3847	4.4476	6.5787	8.3539	11.5807
0.600106079	34.77005571	18.998	7.68	4.7853	7.0687	9.0229	12.3313
0.89927014	37.84140829	19.2672	7.5757	4.4756	7.5189	7.2868	12.2387
0.71534516	29.48388322	17.312	7.5314	4.6171	7.2453	9.3798	11.3166
1.683541595	40.2351194	23.0964	8.1983	4.736	8.0891	11.796	14.608
1.211329983	40.02702733	22.911	8.1878	5.1458	8.3998	11.1742	13.5775
1.46652498	41.36313495	22.708	8.2059	5.0233	7.8842	11.8658	13.0356
0.733951567	37.18865853	22.0809	7.4883	5.1458	6.6	9.4846	12.83
0.795601451	40.19836655	22.8925	7.9327	4.8088	8.4595	12.5281	14.3785
0.691446598	39.2040065	23.5592	7.8997	4.7506	7.9345	11.2571	14.1973
1.088355087	39.12131562	23.2417	8.2111	4.644	8.5407	10.7717	15.0174
1.575611796	34.66809122	19.531	7.0653	4.5068	7.7143	9.7868	12.7262
0.9936714	36.15767397	19.7377	7.2103	4.5272	7.5063	7.7817	13.0458
0.791811408	33.43626355	19.3173	7.1751	4.0641	7.1954	10.1212	12.8489
1.032302643	37.59382641	18.2901	6.4529	4.7569	7.1182	10.4659	12.3109
0.113322567	30.92412939	16.9258	6.8325	4.5246	7.5224	8.989	11.7511
1.565002292	34.50566148	18.7359	7.0639	4.2686	7.5889	8.4269	10.9471
1.241868612	33.23028187	20.5695	6.6878	4.6688	7.3152	9.1378	11.938
0.47746532	39.6419639	19.2031	7.0764	4.8496	7.8551	10.6934	13.6145
0.888471972	36.67129552	19.5742	6.7019	4.1884	6.8273	9.2553	13.1237
0.645257906	32.13219531	18.5708	8.2342	4.4187	7.377	8.0327	12.539
1.147596754	38.20443146	23.9099	7.9219	4.4795	7.9017	10.0829	13.2822
2.194276853	40.59318167	25.1202	7.7165	4.9913	7.9729	9.0676	12.8311
1.356783151	36.76066509	23.2279	8.0623	4.3888	7.9108	10.1543	12.7145
0.397859712	38.29034156	24.8155	8.3083	4.7318	8.1728	9.8947	12.7001
1.047106417	37.0063643	22.1658	7.6489	4.438	8.1857	10.0829	13.3897
0.544432153	32.94941982	21.086	7.556	4.5596	7.3507	8.21	11.3539
0.309178875	39.53492092	21.076	7.7802	4.2342	7.4411	8.9376	14.3036
0.836947986	29.01799679	17.9753	7.5551	4.6645	7.0824	7.2897	9.7125
1.966236958	31.05751778	18.8561	8.0271	4.1908	7.5129	7.3853	11.3511
2.057601546	38.08510029	18.9493	7.8329	4.1004	7.5703	7.2291	11.344
1.109199097	31.348333	19.1781	7.4361	4.1721	6.6659	7.4948	10.6913
0.605203353	33.96989806	20.5579	7.6759	4.7013	7.5456	8.5703	11.9975
0.676221507	36.75149594	20.9518	7.0052	4.8348	7.5074	9.9843	10.8901
1.1800231	39.3536649	21.9406	7.34	4.8889	7.5115	7.2526	12.2275
0.611977348	34.50912313	20.9784	6.866	4.5501	7.8154	10.3043	13.0636
0.587866053	35.09992051	20.6598	7.6842	4.7187	7.1683	8.9744	14.4892
1.210642034	39.80656369	23.9429	8.336	5.2663	8.04	11.2588	14.0793
1.033312003	38.81894145	22.4939	8.2587	4.7204	8.5729	11.5907	13.8383
8.60285188	38.7200324	22.1905	8.7297	4.9883	8.1599	9.4442	13.8123
1.05295691	39.90133488	22.8157	8.657	5.0643	8.3471	11.8795	14.2291
0.896575471	37.79796374	20.8509	8.4868	5.4546	8.3621	10.3946	13.7633
1.287846073	40.42430912	22.813	8.6181	4.7916	8.4801	10.1646	13.0594
1.884473582	39.87474301	23.0757	7.6107	4.1401	6.8895	11.2537	13.3003
