nectario	flores	frutos	fruct	pol.exp
4.79	64	59	0.921875	26
NA	26	24	0.923076923	4
5.49	91	75	0.824175824	38
4.41	32	25	0.78125	14
4.345	78	76	0.974358974	25
4.905	47	45	0.957446809	30
4.63	49	41	0.836734694	21
4.58	110	103	0.936363636	58
4.22	49	70	1.428571429	2
5.145	102	94	0.921568627	43
4.41	81	73	0.901234568	37
4.11	42	39	0.928571429	19
4.27	39	34	0.871794872	18
4.845	127	108	0.850393701	46
4.14	59	55	0.93220339	23
4.69	11	1	0.090909091	0
4.71	33	28	0.848484848	19
4.505	38	33	0.868421053	8
4.365	19	12	0.631578947	11
5.155	96	93	0.96875	34
4.165	30	25	0.833333333	11
3.93	8	5	0.625	2
3.97	38	36	0.947368421	15
3.965	64	51	0.796875	14
3.84	96	94	0.979166667	31
4.105	55	53	0.963636364	14
4.18	64	51	0.796875	16
4.03	42	42	1	17
3.79	21	18	0.857142857	9
4.025	74	68	0.918918919	19
4.62	21	16	0.761904762	11
NA	28	41	1.464285714	6
5.175	36	35	0.972222222	24
3.19	14	13	0.928571429	1
5.035	18	17	0.944444444	5
5.27	66	57	0.863636364	26
3.915	25	20	0.8	8
4.36	15	19	1.266666667	3
5.01	40	39	0.975	26
3.745	23	21	0.913043478	4
3.57	14	11	0.785714286	3
4.585	37	35	0.945945946	15
4.025	27	12	0.444444444	6
4.415	79	76	0.962025316	48
4.345	102	100	0.980392157	46
4.38	86	73	0.848837209	35
3.815	76	73	0.960526316	34
3.995	17	12	0.705882353	7
4.275	23	22	0.956521739	9
3.745	131	109	0.832061069	16
3.95	142	118	0.830985915	29
4.23	50	44	0.88	16
4.42	32	31	0.96875	15
3.615	24	21	0.875	12
4.51	31	25	0.806451613	10
4.375	75	74	0.986666667	22
4.555	30	31	1.033333333	12
4.29	28	28	1	12
4.255	18	16	0.888888889	6
4.175	26	16	0.615384615	2
4.275	93	86	0.924731183	39
4.23	28	23	0.821428571	3
4.89	76	75	0.986842105	23
3.935	26	21	0.807692308	10
3.97	12	8	0.666666667	3
3.855	19	5	0.263157895	4
4.2033	73	68	0.931506849	26
4.92	15	14	0.933333333	10
4.45	21	6	0.285714286	7
4.405	45	41	0.911111111	15
3.87	20	16	0.8	6
4.28	19	14	0.736842105	6
4.205	24	22	0.916666667	14
4.53	18	16	0.888888889	3
3.675	27	24	0.888888889	5
4.18	14	13	0.928571429	1
3.755	22	18	0.818181818	3
4.45	40	38	0.95	14
4.275	33	32	0.96969697	13
4.635	15	12	0.8	3
4.12	32	30	0.9375	4
4.44	13	13	1	2
4.005	7	7	1	1
4.735	7	2	0.285714286	0
4.77	36	33	0.916666667	9
4.22	14	10	0.714285714	3
4.555	42	37	0.880952381	25
4.155	47	33	0.70212766	27
4.09	122	109	0.893442623	35
4.455	93	92	0.989247312	40
3.37	13	11	0.846153846	3
3.88	30	27	0.9	6
4.11	33	31	0.939393939	14
3.75	98	82	0.921348315	17
3.45	35	25	0.714285714	9
3.91	27	26	0.962962963	7
3.565	13	11	0.846153846	1
3.9433	33	33	1	4
4.14	26	24	0.923076923	11
3.83	27	24	0.888888889	8
3.815	14	13	0.928571429	3
4	33	30	0.909090909	16
3.73	28	28	1	7
3.76	24	22	0.916666667	5
3.445	37	31	0.837837838	12
4.14	108	84	0.777777778	35
4.355	39	35	0.897435897	19
4.33	51	47	0.921568627	23
4.28	74	62	0.837837838	19
4.655	34	25	0.735294118	21
4.28	18	15	0.833333333	6
NA	21	18	0.857142857	6
4.35	28	25	0.892857143	7
3.705	15	15	1	6
4.41	21	18	0.857142857	5
3.775	36	23	0.638888889	2
4.655	31	28	0.903225806	11
4.195	36	35	0.972222222	10
4.54	45	41	0.911111111	14
