sitio 	diametro	nidos
A	6.83	9
A	6.08	10
A	4.42	0
A	7.33	11
A	5.83	21
A	6.75	9
A	6	10
A	4.33	0
A	6.83	7
A	6.08	10
A	4.42	0
A	6.58	6
A	5.83	9
A	7.67	33
A	6.5	31
A	5.67	30
A	4.33	0
A	2.5	0
A	7.67	30
A	6.5	30
A	5.67	27
A	4.33	0
A	2.5	0
A	8.58	0
A	7.33	0
A	8.5	0
A	7.25	0
A	8.33	0
A	7.25	0
A	7.25	0
A	7.5	0
A	4.42	0
A	7.5	0
A	4.42	0
A	7.42	0
A	4.33	0
A	7.42	0
A	6	0
A	7.33	0
B	8.42	9
B	8.08	4
B	6.58	9
B	6.25	8
B	5.42	0
B	6	9
B	7.16	16
B	5.33	0
B	9.25	30
B	8	26
B	6.58	38
B	5.58	32
B	3.58	0
B	2.08	0
B	6	22
B	4.5	9
B	4.16	17
B	2.75	0
B	6	34
B	4.08	32
B	2.42	0
B	9.42	19
B	7.83	17
B	7.42	21
B	6	0
B	3.83	0
B	9.42	27
B	8.16	22
B	7.83	20
B	7.42	22
B	6	0
B	3.83	0
C	4.08	9
C	2.08	0
C	4.16	6
C	2.16	0
C	4.42	9
C	2.25	0
C	4.16	8
C	2	0
C	4.16	8
C	2	0
C	3.58	8
C	4.08	10
C	2.08	0
C	2.33	19
C	6.08	15
C	4.33	8
C	2.16	0
C	6	13
C	4.25	11
C	2.42	0
C	2.08	15
C	6.08	17
C	3.58	0
C	2.67	12
C	2.25	13
C	4.42	16
C	2.5	0
C	6.08	17
C	4.33	17
C	2.42	0
C	6	13
C	4.25	13
C	2.33	0
C	4.25	17
C	1.75	0
C	4.33	11
C	1.83	0
C	4.33	18
C	1.83	0
C	6	14
C	4.25	12
C	2.33	0
C	6	12
C	4.16	14
C	2.25	0
C	6.08	14
C	4.33	10
C	2.42	0
C	6	20
C	4.25	20
C	2.33	0
C	2.16	3
C	2.08	24
C	2.16	6
C	2.16	1
C	2.08	27
C	2.16	34
C	2.5	31
C	2.16	38
C	2	6
C	4	15
C	2.42	13
C	4.16	23
C	3.25	18
C	6	14
C	4.25	16
C	2.33	0
C	7.16	64
C	6.08	41
C	3.67	0
C	7.25	57
C	6.16	44
C	3.75	0
C	6.67	21
C	6	14
C	4.58	11
C	3.16	0
C	6.67	19
C	6	14
C	4.16	8
C	6.67	14
C	6	11
C	4.5	11
C	3.16	0
C	6.42	27
C	6	17
C	4.25	14
C	2.92	0
C	6.42	23
C	6	14
C	3.92	11
C	6.67	10
C	6	9
C	4.5	9
C	3.16	0
C	6.67	11
C	6	10
C	4.5	10
C	3.16	0
C	7.33	51
C	6.25	41
C	3.83	0
C	7.08	44
C	6	35
C	3.58	0
C	7.33	53
C	6.42	42
C	3.83	0
C	7.33	44
C	6.25	37
C	3.83	0
C	7.33	51
C	6.42	48
C	3.83	0
C	2.25	30
C	3.16	25
C	2.42	24
C	2.25	31
