planta	senal	tamano	nectar	flores	ramas	semillas
5	-0.09691517	21.76625	69.12354155	8	18	18.62280702
6	0.00414872	19.468	149.6316778	5	12	26.12244898
12	0.129778867	22.9	25.85005997	10	22	38.71111111
13	-0.010136052	20.65857143	94.94595518	9	21	23.82352941
27	-0.106800708	21.11	139.1558452	18	45	28.66666667
28	-0.020180014	22.89	298.7920855	4	22	20.55555556
30	-0.064370499	23.71	215.0943735	8	26	35
35	-0.000716566	18.87	54.12775956	4	13	23.375
43	-0.002256301	24.80333333	31.76136223	3	10	34.12820513
45	-0.000157669	23.11333333	25.83893831	3	13	21.48148148
65	0.029752169	22.264	175.0359479	4	15	27.17647059
69	0.010501044	24.58333333	207.6233607	3	21	28.63636364
73	-0.007740738	23.1875	274.0355753	4	23	34.53921569
77	0.001560825	23.68	296.311498	3	13	32.57142857
100	-0.021377614	23.595	123.6365056	6	21	29.4
102	-0.022070359	25.805	22.21011849	15	34	8.181818182
201	-0.03100889	26.28	327.3116929	5	30	26.22222222
203	0.026162043	23.613	187.9923366	11	25	25.53703704
205	0.016494939	21.74533333	283.374322	15	63	39.375
207	0.10573299	23.23214286	235.8884048	27	96	41.59848485
209	-0.022095276	27.075	305.0744929	6	21	30.26086957
210	0.003354642	21.84111111	101.7947994	9	27	34.16666667
212	0.001668216	21.348	182.8162692	5	14	27.20454545
214	-0.060455464	19.481875	16.76829226	16	30	26
216	0.055678855	21.358	42.08679723	16	44	36.16666667
218	-0.084412696	21.346	44.34464492	5	10	30.70454545
222	-0.068570347	23.68285714	233.4613844	7	18	30.33333333
301	0.015316068	23.8975	210.5185451	5	12	16.04166667
303	-0.026469502	19.51857143	130.1144301	7	33	25.90909091
304	0.044393293	18.34666667	6.820006387	3	12	25.04444444
305	0.009997924	20.24777778	2.923760947	9	35	29.63461538
306	-0.005678442	19.22	56.2679006	4	24	34.61333333
308	0.027126453	20.778	122.6950304	5	17	33.00833333
401	0.00135849	21.29333333	88.61522565	3	9	28.05555556
404	0.079501385	24.06142857	125.7296509	7	21	31.16666667
405	0.098019032	19	135.0806774	3	22	34
406	0.000963641	21.1125	51.51324995	4	17	33.2
407	0.00130419	22.1875	33.40798667	4	10	21.46666667
409	-0.012869411	21.87333333	6.903018445	25	67	37.42207792
410	-0.047979059	21.72333333	82.33436583	9	39	48.15
501	0.011047367	22.6675	160.7791851	4	20	19.73214286
502	-0.021203031	22.40666667	203.2205795	4	14	20.2
503	0.001017974	22.925	199.4414181	4	16	35.85
504	-0.022521253	22.60333333	256.0500355	3	9	28
505	0.056953827	20.854	156.2985666	5	22	33.25
506	0.028128696	21.66333333	12.51651478	3	13	22.26282051
601	-0.013856885	24.75666667	27.52964925	3	11	14.18181818
602	0.006599527	22.2675	126.1817899	4	25	23.75
603	-0.023458321	23.745	359.0809781	4	15	26.66666667
604	0.007274712	24.02333333	462.630495	3	14	39.625
605	-0.002765099	22.2375	336.3557583	4	13	23.91666667
606	0.011565251	24.0775	260.4098973	4	21	34.28571429
607	0.004865379	24.16	212.4061633	3	11	28.07142857
608	-0.081031872	26.80272727	206.5835458	11	30	40.54487179
609	-0.011110511	29.956	258.9067853	5	28	30.15384615
610	0.00817322	23.76666667	48.26314424	3	15	21.78666667
611	-0.001816107	25.9375	142.0953454	4	22	9.358974359
